train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr,archtype,condInferFunc,datakey,inferFunc,lambdaEdge,lambdaNode,nHidStates
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
-156.50592580022652,-170.6641504439396,-168.12054454006005,-5.250783427265698,-13.64829581505868,-12.391654371628903,0.01946376811594203,0.04568115942028986,0.043246376811594205,3dvis-3dhid,loopy,PF00240,loopy,1,1,5
