jobkey,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr,archtype,condInferFunc,datakey,inferFunc,lambdaEdge,lambdaNode,lbpMaxIter,nHidStates
try3_75,-164.90770203364136,-165.39245149520102,-165.49963565093714,-0.9021863557372086,-2.7638114123065467,-2.701875374239731,0.003536688956588939,0.010506043490133517,0.010219425528450612,l1hid,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_63,-188.67630728451792,-189.89396732087673,-190.36686212801007,-1.1814200284875351,-3.6358847042398823,-3.556192967677105,0.0036117338238393594,0.010932417348146232,0.010679156011454952,123vis,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_18,-157.0677344350936,-161.5442880885656,-160.20742888926122,-1.7354668483738604,-5.964571708268188,-5.6355123601825685,0.006362562340485016,0.021096361249813934,0.02032767400083742,123vis,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_12,-152.41277340264327,-155.4986848453326,-154.43007330096177,-1.6667751599048153,-5.584737140556473,-5.115602993464693,0.006524895610688744,0.021042233318448154,0.019854937396166783,12vis,loopy,PF00240,loopy,1,0.1,1000,2
try3_28,-146.4494432053552,-147.67922133901806,-146.64834346258166,-1.5636479806767467,-4.914961081324832,-4.777619120891958,0.006831525121073564,0.02174589642620333,0.02090846468657563,l1hid,loopy,PF00240,loopy,1,0.1,1000,2
try3_23,-135.6233768969668,-138.10844092443227,-137.25069091157008,-1.3518410029754995,-4.4377485325978006,-4.258104313703458,0.006042405057583218,0.02002733460533972,0.019260639950295123,linhid,loopy,PF00240,loopy,0.1,0.01,1000,4
try3_46,-150.30386417251484,-153.65804813198022,-153.81954150216632,-0.8062237486351707,-2.5542066975952102,-2.446271832197012,0.003226929291768057,0.009907203801913412,0.009357430872817478,linvis,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_80,-153.79015058324393,-155.33828954849008,-155.52686318821065,-0.8380585109212789,-2.6117946582823706,-2.500944556765545,0.0032460896834064622,0.009983855282005585,0.009448419197578753,linvis-3dhid,loopy,PF00595,loopy,1,0.1,1000,2
try3_43,-138.96223235965647,-144.13595192956126,-143.04184740504672,-1.4568532736632829,-4.885756480503963,-4.564137003754331,0.006376090113001993,0.02117755314686261,0.01967934951443197,l1vis-l1hid,loopy,PF00240,loopy,0.1,0.01,1000,4
try3_60,-188.28623515452458,-189.48537014395063,-189.9602512716077,-1.1770590533297964,-3.6229689175259976,-3.5444799932590088,0.00361492722244576,0.010932417348146232,0.010679156011454952,123vis,loopy,PF00595,loopy,1,0.1,1000,2
try3_41,-138.52950154117303,-143.42553413328895,-142.41933233898266,-1.445728141924872,-4.823073650127804,-4.505328270651034,0.006434710460575562,0.02115048918117972,0.01969285627456542,l1vis-l1hid,loopy,PF00240,loopy,1,0.1,1000,4
try3_34,-135.1499172988157,-139.44869058075997,-138.26974401402146,-1.3598906426682908,-4.60877869537651,-4.305675492750179,0.005965747679987013,0.019946142708291047,0.01839620730175453,linvis-linhid,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_39,-139.01949964049905,-142.3358825222317,-141.26040361928904,-1.4372630756491958,-4.862160460770323,-4.507923766655988,0.006046914315088877,0.020392698142058754,0.019031025028026526,linvis-3dhid,loopy,PF00240,loopy,0.1,0.01,1000,4
try3_68,-165.5102569800453,-166.0164200544523,-166.10906081958805,-0.9021962007766399,-2.780358389063759,-2.7104042251338063,0.003546269152408142,0.010553950665191126,0.010233792106044498,3dhid,loopy,PF00595,loopy,1,0.1,1000,2
try3_0,-132.63552229477543,-137.13269022066268,-136.0234386187509,-1.2877558462353638,-4.408668660577819,-4.137603387623032,0.005862034757356854,0.019851418828400927,0.01826113970042006,linvis,loopy,PF00240,loopy,1,0.1,1000,2
try3_42,-135.01472952805852,-143.03062142878886,-142.1668322731391,-1.3669413914105908,-4.744470975484308,-4.504467163580356,0.006177682782752992,0.020487422021948875,0.01927414671042857,l1vis-l1hid,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_86,-158.42288678919985,-161.0221554355409,-161.3087742594716,-0.8487508140537664,-2.704234196094093,-2.597093767821342,0.0032556698792256646,0.01006050676209776,0.009754906186248313,l1vis-l1hid,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_10,-135.82428325141385,-143.64015159474192,-142.8134487061751,-1.3667968812344575,-4.74218694158455,-4.504547993682308,0.006191210555269969,0.02082572159298502,0.019409214311763037,l1vis,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_36,-131.94590774008972,-136.6555699957898,-135.48351133185034,-1.3023581727223377,-4.457139367128014,-4.181735477989324,0.005853016242345535,0.020162654433754177,0.01847724786255521,linvis-3dhid,loopy,PF00240,loopy,1,0.1,1000,2
try3_33,-142.1354566932424,-144.78191086058524,-143.7799780062465,-1.476572662579708,-4.95004039922602,-4.679997465433604,0.006177682782752992,0.021055765301289598,0.019773896835366102,linvis-linhid,loopy,PF00240,loopy,1,0.1,1000,4
try3_64,-155.65209704467276,-156.06869273881608,-156.24010642554342,-0.8506320319061329,-2.626927684311816,-2.5216527334476977,0.0033834058234816985,0.010161111829718737,0.00987941652539532,linhid,loopy,PF00595,loopy,1,0.1,1000,2
try3_78,-155.97683982516347,-157.3513941580713,-157.4137780786381,-0.8558339224359471,-2.68573771986952,-2.5516655764440324,0.003301974159018477,0.010084460349626564,0.009472363493568562,linvis-linhid,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_4,-135.01472952805852,-153.65804813198022,-143.04184740504672,-1.3876699210734202,-4.654801177318909,-2.4198314833493817,0.006227284615315242,0.020514485987631767,0.00936221973201544,3dvis,loopy,PF00240,loopy,1,0.1,1000,2
try3_61,-188.28623515452458,-189.48537014395063,-189.9602512716077,-1.1770590533297964,-3.6229689175259976,-3.5444799932590088,0.00361492722244576,0.010932417348146232,0.010679156011454952,123vis,loopy,PF00595,loopy,1,0.1,1000,4
try3_2,-145.75186279345743,-138.10844092443227,-139.6514583157327,-1.4332218149383171,-4.914961081324832,-4.777619120891958,0.006321979022934084,0.02174589642620333,0.02090846468657563,linvis,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_24,-145.67154277729975,-146.91516279093437,-145.97146735063086,-1.558167510706498,-4.920972308525661,-4.7869810146464244,0.0067774140310056545,0.02178649237472767,0.02112457284871078,3dhid,loopy,PF00240,loopy,1,0.1,1000,2
try3_17,-168.9972712196172,-172.6230901861246,-170.97794834886764,-1.885800898466842,-6.359193595446868,-6.077795885136562,0.00680446957603961,0.021678236511996102,0.0212461336899118,123vis,loopy,PF00240,loopy,1,0.1,1000,4
try3_69,-166.3277926163783,-166.77109689858557,-166.780213880544,-0.9132110072504914,-2.7925941961334884,-2.7327282824774315,0.0035606394461369455,0.010510834207639277,0.010329569290003735,3dhid,loopy,PF00595,loopy,1,0.1,1000,4
try3_73,-162.3279926566596,-162.85063405469074,-162.91277266722722,-0.8942830896043681,-2.7373009452646464,-2.6823147077254,0.0035079483691313317,0.010443764162558626,0.010200270091658765,l1hid,loopy,PF00595,loopy,1,0.1,1000,4
try3_7,-162.3279926566596,-162.85063405469074,-157.24443066317,-0.9153806106126519,-2.7638114123065467,-2.6823147077254,0.0035702196419561483,0.010506043490133517,0.010200270091658765,3dvis,loopy,PF00240,loopy,0.1,0.01,1000,4
try3_57,-163.24015303303298,-164.6980904089947,-165.1585857955703,-0.9752925620090095,-3.017428702284659,-2.88689893751796,0.0034025662151201037,0.010228181874799389,0.009927305117374939,12vis,loopy,PF00595,loopy,1,0.1,1000,4
try3_66,-156.41303057099998,-156.9190306331688,-157.10478494877856,-0.8587660304201149,-2.6617509213481227,-2.540962615560579,0.003413743110242507,0.010309624072397322,0.009884205384593283,linhid,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_48,-192.83825349972193,-194.968232298189,-195.70386124385772,-1.2017020920120456,-3.848199245607694,-3.63385022312192,0.0034744176837641226,0.010668927885329386,0.010157170358877109,3dvis,loopy,PF00595,loopy,1,0.1,1000,2
try3_40,-136.85820526869017,-141.88855424877318,-141.05407196278313,-1.3876699210734202,-4.654801177318909,-4.412035987720028,0.006227284615315242,0.020514485987631767,0.019260639950295123,l1vis-l1hid,loopy,PF00240,loopy,1,0.1,1000,2
try3_5,-163.24015303303298,-172.71716842629712,-165.1585857955703,-0.8161196765586393,-3.017428702284659,-2.5499219316579116,0.0031949953057040484,0.010228181874799389,0.009563351818329837,3dvis,loopy,PF00240,loopy,1,0.1,1000,4
try3_19,-157.0677344350936,-161.5442880885656,-160.20742888926122,-1.7354668483738604,-5.964571708268188,-5.6355123601825685,0.006362562340485016,0.021096361249813934,0.02032767400083742,123vis,loopy,PF00240,loopy,0.1,0.01,1000,4
try3_65,-153.52672259765825,-154.07370918608015,-154.2412553269564,-0.8355273722113582,-2.5744272894766365,-2.467675466931426,0.0033371015436888863,0.010012599587040151,0.00967349557988296,linhid,loopy,PF00595,loopy,1,0.1,1000,4
try3_59,-165.8513227843307,-167.27040464479398,-167.74186149741013,-0.9935402903206302,-3.066648693833202,-2.932936447480856,0.0034169365088489076,0.010285670484868519,0.009898571962187169,12vis,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_70,-165.8979156471599,-166.43706038640806,-166.49253558412983,-0.9082429783648457,-2.79798422366588,-2.733557753157918,0.0035494625510145428,0.010587485687731452,0.01034393586759762,3dhid,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_44,-151.08167165385916,-153.2625710507006,-153.4063552130405,-0.8087330185150992,-2.533728743015373,-2.4198314833493817,0.0032285259910712575,0.009873668779373087,0.00936221973201544,linvis,loopy,PF00595,loopy,1,0.1,1000,2
try3_56,-163.24015303303298,-164.6980904089947,-165.1585857955703,-0.9752925620090095,-3.017428702284659,-2.88689893751796,0.0034025662151201037,0.010228181874799389,0.009927305117374939,12vis,loopy,PF00595,loopy,1,0.1,1000,2
try3_16,-168.9972712196172,-172.6230901861246,-170.97794834886764,-1.885800898466842,-6.359193595446868,-6.077795885136562,0.00680446957603961,0.021678236511996102,0.0212461336899118,123vis,loopy,PF00240,loopy,1,0.1,1000,2
try3_37,-137.1398702736123,-140.60310369183327,-139.50635142961428,-1.4048810707773245,-4.7549640379038545,-4.424343906976372,0.006101025405156787,0.020555081936156103,0.019112065588827207,linvis-3dhid,loopy,PF00240,loopy,1,0.1,1000,4
try3_38,-133.26626076747894,-138.2034255117949,-137.08533653244558,-1.3206953020339658,-4.548336592351011,-4.272329390341452,0.005920655104930422,0.01986495081124237,0.018315166740953848,linvis-3dhid,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_1,-157.0677344350936,-143.64015159474192,-142.8134487061751,-1.3667968812344575,-4.408668660577819,-4.137603387623032,0.006191210555269969,0.019851418828400927,0.01826113970042006,linvis,loopy,PF00240,loopy,1,0.1,1000,4
try3_27,-148.18205823944652,-149.1987544994826,-148.28548558818065,-1.5889475719065886,-4.997801567455013,-4.856372840070611,0.0068585806661075185,0.021827088323252006,0.021070545808176994,3dhid,loopy,PF00240,loopy,0.1,0.01,1000,4
try3_76,-155.8356790392238,-157.2182862895999,-157.24443066317,-0.8551168293879008,-2.684124936051765,-2.5468186479530543,0.003298780760412076,0.010151530394707215,0.009510674367152257,linvis-linhid,loopy,PF00595,loopy,1,0.1,1000,2
try3_71,-166.64529347390004,-167.1048684499554,-167.07312404113807,-0.9153806106126519,-2.7990856725586313,-2.7420258230075762,0.0035702196419561483,0.010534787795168083,0.010372669022785393,3dhid,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_3,-146.45985933251586,-142.51958932054038,-136.78938738689052,-1.4372630756491958,-4.902267050166722,-4.424343906976372,0.006046914315088877,0.020947509438558033,0.019112065588827207,linvis,loopy,PF00240,loopy,0.1,0.01,1000,4
try3_58,-165.8513227843307,-167.27040464479398,-167.74186149741013,-0.9935402903206302,-3.066648693833202,-2.932936447480856,0.0034169365088489076,0.010285670484868519,0.009898571962187169,12vis,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_53,-157.28089595355877,-159.9996964201927,-160.2483896742261,-0.822842627528258,-2.6277399832386066,-2.5212962941530503,0.0032093655994328524,0.009988645999511346,0.009582507255121685,l1vis,loopy,PF00595,loopy,1,0.1,1000,4
try3_52,-157.28089595355877,-159.9996964201927,-160.2483896742261,-0.822842627528258,-2.6277399832386066,-2.5212962941530503,0.0032093655994328524,0.009988645999511346,0.009582507255121685,l1vis,loopy,PF00595,loopy,1,0.1,1000,2
